"id","domainname","notes","npi_count","is_athenahealth","is_multi_site","is_could_not_find_form","patient_record_request_form_url","is_plaintext_email_delivery_available","is_secure_email_non_Direct_delivery_available","is_fax_delivery_available","is_mail_delivery_available","is_Direct_delivery_available","is_portal_delivery_available","is_FHIR_url_delivery_available","is_non_FHIR_app_delivery_available","is_in_person_pickup_available","is_physical_disk_available","is_undefined_digital_delivery_available"
"84","carilionclinic.org",,"201",NULL,"0","0","https://www.carilionclinic.org/sites/default/files/2019-03/Authorization%20to%20Release%20Protected%20Health%20Information.pdf","0","0","1","1","0","0","0","0","0","0","0"
"85","covhlth.com",,"185",NULL,"0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"86","mhsystem.org",,"184",NULL,"0","0","https://www.mhsystem.org/assets/documents/MedicalRecordReleaseForm.pdf","0","0","0","1","0","0","0","0","0","0","0"
"87","holzer.org",,"181","1","0","0","https://www.holzer.org/app/files/public/cb7195ab-0ae8-4465-a28c-219d7eb4206c/Release-of-Information-2019.pdf","0","0","1","1","0","0","0","0","0","0","0"
"88","tenethealth.com",,"179",NULL,"0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"89","usf.edu",,"179",NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"90","inova.org",,"172",NULL,"0","0","https://www.inova.org/sites/default/files/2019-04/eng-auth-release-prot-health-info.pdf","0","0","1","1","0","1","0","0","1","0","0"
"91","mcleodhealth.org",,"170",NULL,"0","0","https://www.mcleodhealth.org/wp-content/uploads/2020/04/Authorization-Release-of-MR-Revised-4-1-2020.pdf","0","0","0","1","0","0","0","0","0","0","0"
"92","reidhealth.org",,"168",NULL,"0","0","https://dynamix-cdn.s3.amazonaws.com/reidhealthorg/reidhealthorg_439687741.pdf","0","0","0","1","0","0","0","0","0","0","0"
"93","boncura.com","not a provider?","161",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"94","somc.org",,"159",NULL,"0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"95","hfhs.org",,"158",NULL,"0","0","https://www.henryford.com/-/media/files/henry-ford/patients-visitors/patient-info-release-auth.pdf?la=en&hash=392E28F2E0174577F4AA5B471AC6482E","1","0","1","1","0","1","0","0","0","0","0"
"96","patientfirst.com",,"157",NULL,"0","0","https://www.patientfirst.com/portals/0/Legal/AuthorizationForReleaseOfInformation9Dec2014.pdf","0","0","1","1","0","0","0","0","0","0","0"
"97","garnethealth.org",,"154",NULL,"0","0","https://www.garnethealth.org/sites/default/files/2020-11/Authorization-for-ROI.pdf","1","0","1","1","0","1","0","0","0","1","0"
"98","altru.org",,"149",NULL,"0","0","https://www.altru.org/documents/content/Release-Form.pdf","0","0","1","1","0","1","0","0","0","1","0"
"99","ADENA.ORG",,"147",NULL,"0","0","https://www.adena.org/files/resources/authorization-for-roi-final-2018-03-13.pdf","0","0","0","1","0","0","0","0","0","0","0"
"100","lmh.org",,"141",NULL,"0","0","https://www.lmh.org/app/files/public/f4cc5874-2334-4c81-8283-70ebe8288038/Authorization-for-Use-.pdf","0","1","1","1","0","1","0","0","1","1","0"
